method,clustering,seed,num_periods,cost,time,distance,data,loss,loss_ct
cross_scenario,k_medoids,1109759726,33,4.41928e7,18.8235812,CosineDist,centered,10537.399516000001,7
cross_scenario,k_medoids,1963882461,33,4.41826e7,17.9453207,CosineDist,centered,7638.419871,7
cross_scenario,k_medoids,1989163906,33,4.41759e7,18.9945718,CosineDist,centered,9845.579042,7
cross_scenario,k_medoids,2479233904,33,9.70767e7,23.5728998,CosineDist,centered,1.4197414650750002e6,307
cross_scenario,k_medoids,2497612078,33,4.41824e7,18.4583551,CosineDist,centered,9695.794544000002,7
cross_scenario,k_medoids,3214090957,33,4.41988e7,19.6969373,CosineDist,centered,8506.787377999999,7
cross_scenario,k_medoids,3465092140,33,4.41975e7,18.4112672,CosineDist,centered,8826.75163,7
cross_scenario,k_medoids,4061834237,33,4.4182e7,20.5012048,CosineDist,centered,9363.429088,7
cross_scenario,k_medoids,52313467,33,4.41781e7,18.5933362,CosineDist,centered,10540.729545999999,7
cross_scenario,k_medoids,1208640119,35,4.41788e7,20.1159525,CosineDist,centered,9667.076774000001,7
cross_scenario,k_medoids,1428058240,35,4.41845e7,20.28268,CosineDist,centered,8114.173536,7
cross_scenario,k_medoids,15941194,35,8.90118e7,19.4795342,CosineDist,centered,1.2185692395660002e6,224
cross_scenario,k_medoids,2213813141,35,4.41923e7,20.9592332,CosineDist,centered,8354.631789,7
cross_scenario,k_medoids,2291375163,35,4.41799e7,23.7073403,CosineDist,centered,8412.679956,7
cross_scenario,k_medoids,236500538,35,4.41791e7,20.9641325,CosineDist,centered,9214.614258000001,7
cross_scenario,k_medoids,252145784,35,4.41817e7,19.7074904,CosineDist,centered,8582.972434000001,7
cross_scenario,k_medoids,2544196106,35,4.41974e7,22.1065762,CosineDist,centered,11202.319274,7
cross_scenario,k_medoids,2745802022,35,4.41746e7,23.4081569,CosineDist,centered,9738.784547,7
cross_scenario,k_medoids,3596893902,35,4.41707e7,19.9437538,CosineDist,centered,9304.780047999999,7
cross_scenario,k_medoids,1380354363,37,4.50004e7,27.8093026,CosineDist,centered,42263.194253999995,17
cross_scenario,k_medoids,3048518942,37,4.41927e7,23.5350803,CosineDist,centered,8487.584626,7
cross_scenario,k_medoids,3182806193,37,4.41751e7,22.6336994,CosineDist,centered,8963.398412999999,7
cross_scenario,k_medoids,3244629827,37,4.41735e7,23.3000733,CosineDist,centered,9721.648273,7
