method,clustering,seed,num_periods,cost,time,distance,data,loss,loss_ct
cross_scenario,k_medoids,3096268031,39,4.45195e7,6.9952113,CosineDist,centered,9403.076349,7
cross_scenario,k_medoids,3338611973,39,9.5931e7,7.0839266,CosineDist,centered,1.378400851564e6,296
cross_scenario,k_medoids,662283236,39,4.45187e7,6.5208238,CosineDist,centered,8506.644728,7
cross_scenario,k_medoids,1005104349,41,4.45282e7,6.693588,CosineDist,centered,9280.553409,7
cross_scenario,k_medoids,1534696584,41,4.4532e7,6.5576939,CosineDist,centered,9644.298764000001,7
cross_scenario,k_medoids,225016911,41,1.00058e8,6.0141949,CosineDist,centered,1.483436231395e6,338
cross_scenario,k_medoids,2317592996,41,4.45299e7,6.6555855,CosineDist,centered,9477.821775,7
cross_scenario,k_medoids,2716090479,41,4.45519e7,7.091789,CosineDist,centered,9549.861741,7
cross_scenario,k_medoids,3258958499,41,4.45108e7,7.0170861,CosineDist,centered,8696.3386,7
cross_scenario,k_medoids,329433595,41,4.45275e7,6.0982458,CosineDist,centered,9179.908135,7
cross_scenario,k_medoids,3444774395,41,4.45431e7,5.8869047,CosineDist,centered,9883.922661999999,7
cross_scenario,k_medoids,438234340,41,4.45292e7,6.305571,CosineDist,centered,8956.118314,7
cross_scenario,k_medoids,953901905,41,4.45533e7,6.5754294,CosineDist,centered,10512.533271,7
cross_scenario,k_medoids,1660595499,5,1.33642e8,5.8107713,CosineDist,centered,2.341381256168e6,819
cross_scenario,k_medoids,1714105051,5,4.46357e7,6.7370313,CosineDist,centered,7179.702327,7
cross_scenario,k_medoids,2169593505,5,1.29066e8,5.6896816,CosineDist,centered,2.2252817897679997e6,767
cross_scenario,k_medoids,2538991366,5,1.46793e8,5.8573402,CosineDist,centered,2.692861115634e6,1173
cross_scenario,k_medoids,2909674750,5,1.45279e8,5.2977344,CosineDist,centered,2.658093428895e6,1000
cross_scenario,k_medoids,3018546641,5,1.29164e8,5.2996788,CosineDist,centered,2.226548856563001e6,764
cross_scenario,k_medoids,3634057553,5,1.30869e8,4.9655965,CosineDist,centered,2.27025025834e6,774
cross_scenario,k_medoids,4139823947,5,1.42323e8,4.8124783,CosineDist,centered,2.582885501018e6,1027
cross_scenario,k_medoids,4197766176,5,1.3759e8,5.6458167,CosineDist,centered,2.460235694945e6,1070
cross_scenario,k_medoids,5947179,5,1.37037e8,5.4010929,CosineDist,centered,2.445728511293e6,1030
cross_scenario,k_medoids,1006581332,7,1.35805e8,5.3120182,CosineDist,centered,2.4187276690599998e6,911
cross_scenario,k_medoids,1176932870,7,5.0252e7,5.8005946,CosineDist,centered,169621.22682600003,116
cross_scenario,k_medoids,1821427372,7,1.35964e8,5.5330924,CosineDist,centered,2.4205830636909995e6,839
cross_scenario,k_medoids,2689963385,7,1.97048e8,5.8365496,CosineDist,centered,3.987458869028e6,1907
cross_scenario,k_medoids,2751971336,7,1.03986e8,5.1636898,CosineDist,centered,1.584190745056e6,421
cross_scenario,k_medoids,3385142830,7,1.0423e8,5.708219,CosineDist,centered,1.5916839517679997e6,399
cross_scenario,k_medoids,3409620994,7,1.26254e8,5.8154531,CosineDist,centered,2.1695913875409993e6,741
cross_scenario,k_medoids,447101461,7,1.10863e8,5.969914,CosineDist,centered,1.7732354875450004e6,581
cross_scenario,k_medoids,468006976,7,1.02251e8,5.703784,CosineDist,centered,1.5523453230309999e6,433
cross_scenario,k_medoids,880982686,7,1.62854e8,5.6028611,CosineDist,centered,3.109886619754e6,1294
cross_scenario,k_medoids,1130292821,9,1.31107e8,5.8009316,CosineDist,centered,2.29753448827e6,765
cross_scenario,k_medoids,1392296365,9,5.0442e7,5.8376095,CosineDist,centered,172925.76973899995,118
cross_scenario,k_medoids,2814468992,9,1.08815e8,5.8572332,CosineDist,centered,1.7077213651190002e6,495
cross_scenario,k_medoids,3044209910,9,1.16293e8,5.9031066,CosineDist,centered,1.9156637088909994e6,640
cross_scenario,k_medoids,3261319673,9,4.83121e7,5.8030491,CosineDist,centered,120712.39338800003,83
cross_scenario,k_medoids,3543870990,9,4.45513e7,5.9779501,CosineDist,centered,7496.54178,7
cross_scenario,k_medoids,3602499071,9,1.37458e8,5.7451496,CosineDist,centered,2.4559475173580004e6,988
cross_scenario,k_medoids,3926221275,9,1.00607e8,5.6157031,CosineDist,centered,1.493321617928e6,403
cross_scenario,k_medoids,42413356,9,1.50175e8,5.4549795,CosineDist,centered,2.778119428243e6,1189
cross_scenario,k_medoids,697383862,9,1.15296e8,5.8392051,CosineDist,centered,1.8907227639200003e6,615
cross_scenario,k_medoids,1355586937,11,5.03353e7,5.63664,SqEuclidean,centered,172925.76973899995,118
cross_scenario,k_medoids,1768760743,11,4.45675e7,5.8862609,SqEuclidean,centered,6963.312043999999,7
cross_scenario,k_medoids,2652796558,11,5.04093e7,6.7967689,SqEuclidean,centered,172925.76973899995,118
cross_scenario,k_medoids,3000698040,11,5.02968e7,6.7148977,SqEuclidean,centered,169621.22682600003,116
cross_scenario,k_medoids,3160233726,11,4.45759e7,7.0111015,SqEuclidean,centered,6077.561197,7
cross_scenario,k_medoids,3479820580,11,9.12919e7,6.0332324,SqEuclidean,centered,1.2666901339020005e6,365
cross_scenario,k_medoids,3649546841,11,1.2987e8,5.6260781,SqEuclidean,centered,2.2652346170739997e6,722
cross_scenario,k_medoids,4031091536,11,4.45897e7,5.9719872,SqEuclidean,centered,6587.222392,7
cross_scenario,k_medoids,675182737,11,1.13555e8,6.1788669,SqEuclidean,centered,1.8456720763840002e6,560
cross_scenario,k_medoids,722170199,11,1.17087e8,5.9307468,SqEuclidean,centered,1.9345616282970002e6,598
cross_scenario,k_medoids,1020330993,13,1.04775e8,5.8962989,SqEuclidean,centered,1.6047351995909999e6,448
cross_scenario,k_medoids,1241334511,13,1.43661e8,5.7270235,SqEuclidean,centered,2.608342831654e6,901
cross_scenario,k_medoids,1561739573,13,1.10286e8,6.2796619,SqEuclidean,centered,1.745458399916e6,437
cross_scenario,k_medoids,2082789969,13,4.45681e7,6.3540955,SqEuclidean,centered,8203.822395,7
cross_scenario,k_medoids,2422820678,13,1.00925e8,6.5046196,SqEuclidean,centered,1.5055087636509999e6,377
cross_scenario,k_medoids,373102896,13,9.8847e7,6.8153614,SqEuclidean,centered,1.4556364545310002e6,328
cross_scenario,k_medoids,3777256655,13,1.2506e8,5.7982694,SqEuclidean,centered,2.1307137310380004e6,688
cross_scenario,k_medoids,4101453586,13,1.01708e8,5.4506694,SqEuclidean,centered,1.5275705757739998e6,338
cross_scenario,k_medoids,419645993,13,1.01595e8,5.9153356,SqEuclidean,centered,1.5227918022029998e6,407
cross_scenario,k_medoids,772616242,13,5.03359e7,6.3664907,SqEuclidean,centered,169621.22682600003,116
cross_scenario,k_medoids,1536731824,15,1.18374e8,5.7508679,SqEuclidean,centered,1.958030322184e6,554
cross_scenario,k_medoids,1944031661,15,4.45548e7,6.4923647,SqEuclidean,centered,7243.098533999999,7
cross_scenario,k_medoids,195370354,15,1.22288e8,5.8797631,SqEuclidean,centered,2.0546739002709996e6,634
cross_scenario,k_medoids,2392820273,15,1.01544e8,5.7169185,SqEuclidean,centered,1.525080265012e6,381
cross_scenario,k_medoids,2931326369,15,4.45484e7,6.3293028,SqEuclidean,centered,8287.533422999999,7
cross_scenario,k_medoids,3012361418,15,4.46229e7,6.1120085,SqEuclidean,centered,10376.681539,7
cross_scenario,k_medoids,3763622817,15,4.45679e7,6.1957763,SqEuclidean,centered,7407.736509,7
cross_scenario,k_medoids,3796973136,15,1.14504e8,5.8246824,SqEuclidean,centered,1.852670915254e6,491
cross_scenario,k_medoids,3815196410,15,4.45559e7,6.6643277,SqEuclidean,centered,7944.669353,7
