location,time_step,demand,scenario,period,timestep
FIN,7187,7431.57019712438,1900,300,11
FIN,7188,7393.53406866389,1900,300,12
FIN,7189,7245.39335781778,1900,300,13
FIN,7190,7271.41807729074,1900,300,14
FIN,7191,7294.43994451683,1900,300,15
FIN,7192,7500.63579880263,1900,300,16
FIN,7193,8092.19769143811,1900,300,17
FIN,7194,8185.28611109141,1900,300,18
FIN,7195,8242.34030378214,1900,300,19
FIN,7196,8107.21195267252,1900,300,20
FIN,7197,7536.6700257652,1900,300,21
FIN,7198,7415.55498514101,1900,300,22
FIN,7199,7063.22032150702,1900,300,23
FIN,7200,6624.80389346245,1900,300,24
FRA,1,51662.9892822035,1900,1,1
FRA,2,51286.2963675482,1900,1,2
FRA,3,48966.7140615288,1900,1,3
FRA,4,45865.5443176148,1900,1,4
FRA,5,44178.4838041183,1900,1,5
FRA,6,44354.7438577672,1900,1,6
FRA,7,44590.4287295034,1900,1,7
FRA,8,44935.8984346553,1900,1,8
FRA,9,44444.3846850515,1900,1,9
FRA,10,45537.1970176746,1900,1,10
FRA,11,46356.050866912,1900,1,11
FRA,12,47106.415095303,1900,1,12
FRA,13,48767.2884008289,1900,1,13
FRA,14,45295.468944099,1900,1,14
FRA,15,42397.7536621112,1900,1,15
FRA,16,41394.5821567724,1900,1,16
FRA,17,42555.884110242,1900,1,17
FRA,18,49066.4268918787,1900,1,18
FRA,19,51947.0197686549,1900,1,19
FRA,20,52342.849489135,1900,1,20
FRA,21,50624.5657661349,1900,1,21
FRA,22,48226.4218362034,1900,1,22
FRA,23,51686.1548892545,1900,1,23
FRA,24,50642.6953716531,1900,1,24
FRA,3577,22941.2525597862,1900,150,1
FRA,3578,21357.8750342359,1900,150,2
FRA,3579,18568.8340875128,1900,150,3
FRA,3580,16311.6145997532,1900,150,4
FRA,3581,15629.7147366505,1900,150,5
FRA,3582,15559.2081038333,1900,150,6
FRA,3583,16848.472246775,1900,150,7
FRA,3584,19507.5795415923,1900,150,8
FRA,3585,22717.6458099947,1900,150,9
FRA,3586,25126.958177117,1900,150,10
FRA,3587,25810.8725154431,1900,150,11
FRA,3588,26965.1668184206,1900,150,12
FRA,3589,28397.4587022198,1900,150,13
FRA,3590,25678.9243883139,1900,150,14
FRA,3591,24076.4093481418,1900,150,15
FRA,3592,22221.0776674398,1900,150,16
FRA,3593,21125.2031459394,1900,150,17
FRA,3594,21299.4552527589,1900,150,18
FRA,3595,22355.0402697924,1900,150,19
FRA,3596,21917.8991463262,1900,150,20
FRA,3597,20318.4058189892,1900,150,21
FRA,3598,21376.005311246,1900,150,22
FRA,3599,26362.83872664,1900,150,23
FRA,3600,25902.5311381053,1900,150,24
FRA,7177,29001.96032375,1900,300,1
FRA,7178,27856.141566887,1900,300,2
FRA,7179,25453.7482858017,1900,300,3
FRA,7180,23706.8277733612,1900,300,4
FRA,7181,24086.41799422,1900,300,5
FRA,7182,27579.2521484887,1900,300,6
FRA,7183,33135.1641874781,1900,300,7
FRA,7184,36134.6317416916,1900,300,8
FRA,7185,38507.8257750185,1900,300,9
FRA,7186,39198.5390150959,1900,300,10
FRA,7187,39073.6870591635,1900,300,11
FRA,7188,39853.0049131283,1900,300,12
FRA,7189,39510.6689049267,1900,300,13
FRA,7190,38228.9226153955,1900,300,14
FRA,7191,36731.7060148196,1900,300,15
FRA,7192,35369.4100762998,1900,300,16
FRA,7193,35124.7405174968,1900,300,17
FRA,7194,38580.3204591083,1900,300,18
FRA,7195,42812.1976428474,1900,300,19
FRA,7196,39946.6438800776,1900,300,20
FRA,7197,35225.4275787326,1900,300,21
FRA,7198,32006.4622310252,1900,300,22
FRA,7199,34764.2808382728,1900,300,23
FRA,7200,33558.0498446683,1900,300,24
GER,1,33061.6700767249,1900,1,1
GER,2,31449.1851339137,1900,1,2
GER,3,29727.8245842648,1900,1,3
GER,4,28264.6022125711,1900,1,4
GER,5,27576.0331088242,1900,1,5
GER,6,26813.5103930637,1900,1,6
GER,7,25294.1989794578,1900,1,7
GER,8,25573.2654704203,1900,1,8
GER,9,26287.9487033776,1900,1,9
GER,10,28726.0943496955,1900,1,10
GER,11,31548.1867860925,1900,1,11
GER,12,34825.7682932392,1900,1,12
GER,13,35974.7634450653,1900,1,13
GER,14,35223.1605634232,1900,1,14
GER,15,34200.1085479505,1900,1,15
GER,16,34289.6600277453,1900,1,16
GER,17,36954.3647533525,1900,1,17
GER,18,41847.1014783198,1900,1,18
GER,19,42628.2959095602,1900,1,19
GER,20,41527.5539180193,1900,1,20
GER,21,39209.1835030717,1900,1,21
GER,22,37903.9911489379,1900,1,22
GER,23,37708.5134905671,1900,1,23
GER,24,34718.6415013883,1900,1,24
GER,3577,31008.1525684238,1900,150,1
GER,3578,28622.8032627808,1900,150,2
GER,3579,27258.3633270303,1900,150,3
GER,3580,27003.7028152163,1900,150,4
