location,technology,time_step,availability,scenario,period,timestep
BLK,WindOff,7189,0.103,1900,300,13
BLK,WindOff,7190,0.146,1900,300,14
BLK,WindOff,7191,0.142,1900,300,15
BLK,WindOff,7192,0.069,1900,300,16
BLK,WindOff,7193,0.133,1900,300,17
BLK,WindOff,7194,0.184,1900,300,18
BLK,WindOff,7195,0.215,1900,300,19
BLK,WindOff,7196,0.188,1900,300,20
BLK,WindOff,7197,0.296,1900,300,21
BLK,WindOff,7198,0.442,1900,300,22
BLK,WindOff,7199,0.496,1900,300,23
BLK,WindOff,7200,0.621,1900,300,24
BLK,WindOn,1,0.483,1900,1,1
BLK,WindOn,2,0.477,1900,1,2
BLK,WindOn,3,0.466,1900,1,3
BLK,WindOn,4,0.457,1900,1,4
BLK,WindOn,5,0.456,1900,1,5
BLK,WindOn,6,0.454,1900,1,6
BLK,WindOn,7,0.446,1900,1,7
BLK,WindOn,8,0.44,1900,1,8
BLK,WindOn,9,0.417,1900,1,9
BLK,WindOn,10,0.405,1900,1,10
BLK,WindOn,11,0.396,1900,1,11
BLK,WindOn,12,0.392,1900,1,12
BLK,WindOn,13,0.384,1900,1,13
BLK,WindOn,14,0.375,1900,1,14
BLK,WindOn,15,0.373,1900,1,15
BLK,WindOn,16,0.391,1900,1,16
BLK,WindOn,17,0.401,1900,1,17
BLK,WindOn,18,0.407,1900,1,18
BLK,WindOn,19,0.409,1900,1,19
BLK,WindOn,20,0.406,1900,1,20
BLK,WindOn,21,0.395,1900,1,21
BLK,WindOn,22,0.38,1900,1,22
BLK,WindOn,23,0.366,1900,1,23
BLK,WindOn,24,0.356,1900,1,24
BLK,WindOn,3577,0.232,1900,150,1
BLK,WindOn,3578,0.227,1900,150,2
BLK,WindOn,3579,0.221,1900,150,3
BLK,WindOn,3580,0.201,1900,150,4
BLK,WindOn,3581,0.131,1900,150,5
BLK,WindOn,3582,0.102,1900,150,6
BLK,WindOn,3583,0.098,1900,150,7
BLK,WindOn,3584,0.09,1900,150,8
BLK,WindOn,3585,0.081,1900,150,9
BLK,WindOn,3586,0.075,1900,150,10
BLK,WindOn,3587,0.07,1900,150,11
BLK,WindOn,3588,0.07,1900,150,12
BLK,WindOn,3589,0.073,1900,150,13
