method,clustering,blended,month,num_periods,avg_total_cost,time,scenario,scenario_cost
group_scenario,convex_hull,false,1,100,3.6558607554451942e9,94.3423049,1995,2.965715827078408e9
group_scenario,convex_hull,false,1,100,3.6558607554451942e9,94.3423049,1997,2.004190833031238e9
group_scenario,convex_hull,false,1,100,3.6558607554451942e9,94.3423049,2002,6.24942301038675e8
group_scenario,convex_hull,false,1,100,3.6558607554451942e9,94.3423049,2008,4.04769967506957e8
group_scenario,convex_hull,false,1,100,3.6558607554451942e9,94.3423049,2009,8.435676180255151e8
group_scenario,convex_hull,false,1,100,3.6558607554451942e9,94.3423049,2012,1.5606005685244412e9
per_scenario,convex_hull,true,1,100,3.0065201404372177e9,103.4478344,1900,3.64181401683547e8
per_scenario,convex_hull,true,1,100,3.0065201404372177e9,103.4478344,1982,3.6615859312544835e8
per_scenario,convex_hull,true,1,100,3.0065201404372177e9,103.4478344,1987,8.006439976617337e9
per_scenario,convex_hull,true,1,100,3.0065201404372177e9,103.4478344,1992,1.7638994952972645e10
per_scenario,convex_hull,true,1,100,3.0065201404372177e9,103.4478344,1995,1.7301014595594473e9
per_scenario,convex_hull,true,1,100,3.0065201404372177e9,103.4478344,1997,5.097594179901104e8
per_scenario,convex_hull,true,1,100,3.0065201404372177e9,103.4478344,2002,3.6437337859898144e8
per_scenario,convex_hull,true,1,100,3.0065201404372177e9,103.4478344,2008,3.5815864588827807e8
per_scenario,convex_hull,true,1,100,3.0065201404372177e9,103.4478344,2009,3.657957628530139e8
per_scenario,convex_hull,true,1,100,3.0065201404372177e9,103.4478344,2012,3.612378150833678e8
per_scenario,convex_hull,false,1,100,2.960028406854655e9,87.6230564,1900,4.168315103206291e8
per_scenario,convex_hull,false,1,100,2.960028406854655e9,87.6230564,1982,3.602861627797718e8
per_scenario,convex_hull,false,1,100,2.960028406854655e9,87.6230564,1987,7.824877311513287e9
per_scenario,convex_hull,false,1,100,2.960028406854655e9,87.6230564,1992,1.740263310726301e10
per_scenario,convex_hull,false,1,100,2.960028406854655e9,87.6230564,1995,1.7243038254603915e9
per_scenario,convex_hull,false,1,100,2.960028406854655e9,87.6230564,1997,4.453096676798338e8
per_scenario,convex_hull,false,1,100,2.960028406854655e9,87.6230564,2002,3.584114226987201e8
per_scenario,convex_hull,false,1,100,2.960028406854655e9,87.6230564,2008,3.523831076459014e8
per_scenario,convex_hull,false,1,100,2.960028406854655e9,87.6230564,2009,3.597601758307124e8
per_scenario,convex_hull,false,1,100,2.960028406854655e9,87.6230564,2012,3.554877773542928e8
cross_scenario,k_means,true,1,100,1.6162039375878954e10,85.6213725,1900,4.5635331463661415e10
cross_scenario,k_means,true,1,100,1.6162039375878954e10,85.6213725,1982,9.551012900174463e9
cross_scenario,k_means,true,1,100,1.6162039375878954e10,85.6213725,1987,2.4124969151944283e10
