rp,clustering,seed,num_periods,investment_cost,data,windon,windoff,solar
per,k_medoids,2110474755,200,4.1204e9,blended,2.6113111992094e7,1.0201819540315999e7,2.5591677484606e7
per,k_medoids,2358156674,200,4.09624e9,blended,2.6111840204060998e7,1.0003508719959e7,2.5582551278707e7
per,k_medoids,2454944798,200,4.09342e9,blended,2.6034465627508e7,1.0026785087894998e7,2.5593596618786e7
per,k_medoids,3126457023,200,4.09262e9,blended,2.6028247899777003e7,1.0035050353425e7,2.5555271534329005e7
per,k_medoids,4093639103,200,4.11257e9,blended,2.6030725505187e7,1.0208320738936e7,2.5526659837621e7
per,k_medoids,4109171108,200,4.18673e9,blended,2.6109706207792e7,1.0748442296977e7,2.5625047904663e7
per,k_medoids,535977374,200,4.10283e9,blended,2.6080654909971002e7,1.0069839033135e7,2.5613399844378e7
per,k_medoids,2427280835,400,4.1091e9,blended,2.6167659376644e7,1.0087520896397999e7,2.5538221488606002e7
per,k_medoids,2619392602,400,4.09963e9,blended,2.6070971020868998e7,1.0074207553877998e7,2.5526727171633e7
per,k_medoids,2782517393,400,4.11768e9,blended,2.609898111409e7,1.0209393303498998e7,2.5517902597229e7
per,k_medoids,312313452,400,4.13057e9,blended,2.610656098038e7,1.0307804034864e7,2.55329812309e7
per,k_medoids,31988942,400,4.12672e9,blended,2.6069423874725e7,1.0294471944259001e7,2.5551036775346003e7
per,k_medoids,3299859308,400,4.11387e9,blended,2.6083377881017e7,1.0177278195710002e7,2.5553947201651e7
per,k_medoids,3416848122,400,4.09378e9,blended,2.6081093507694002e7,1.0011092399424e7,2.5553566646976e7
per,k_medoids,4200777459,400,4.09887e9,blended,2.61111627721e7,1.0030390330657e7,2.556682448079e7
per,k_medoids,562750908,400,4.21669e9,blended,2.6050440033775e7,1.1060242599958e7,2.5543894237623002e7
per,k_medoids,938822533,400,4.1077e9,blended,2.6101190586409003e7,1.0101197225708999e7,2.5599696736186e7
per,k_medoids,123456789,50,3.96448e9,blended,2.5339766491727e7,9.388000648795e6,2.5630864114027e7
per,k_medoids,1286268702,50,4.01367e9,blended,2.5584651727972e7,9.658456978671e6,2.5568737810196e7
per,k_medoids,1308502331,50,3.92921e9,blended,2.6023454260894e7,8.658315820746e6,2.5607722496907e7
per,k_medoids,1573928461,50,4.03539e9,blended,2.602518798016e7,9.557848984859e6,2.5559674686675e7
per,k_medoids,1991051616,50,3.97132e9,blended,2.6021582115547e7,9.015312665355999e6,2.5593610724361002e7
per,k_medoids,2678701235,50,4.01122e9,blended,2.5534185680009e7,9.653456562718999e6,2.5628383486213002e7
per,k_medoids,3861234567,50,4.04186e9,blended,2.60239630608e7,9.625169114298e6,2.5516034929787003e7
per,k_medoids,477073181,50,4.04916e9,blended,2.602578740921e7,9.680693793180998e6,2.5530790681607e7
per,k_medoids,876543210,50,4.01078e9,blended,2.6023547135356e7,9.338479786982e6,2.5611337868832e7
per,k_medoids,987654321,50,3.99981e9,blended,2.6107361942493998e7,9.215043307078999e6,2.5533668172921e7
per,k_medoids,1090113321,800,4.10654e9,blended,2.6087721370128e7,1.0115226679488e7,2.5547246882188e7
per,k_medoids,1155602729,800,4.11011e9,blended,2.6057881399168e7,1.0162454684361e7,2.5553580372289002e7
per,k_medoids,2122787014,800,4.12133e9,blended,2.6193729068448e7,1.0173452707046e7,2.5536023503636e7
per,k_medoids,2889623452,800,4.12435e9,blended,2.6070286661477e7,1.0278934742389001e7,2.5534240089174e7
per,k_medoids,3011269584,800,4.10892e9,blended,2.606483286434e7,1.0152250099437999e7,2.5538897157481e7
per,k_medoids,3664645650,800,4.10867e9,blended,2.6095635469133e7,1.0126607552326e7,2.5551584258294e7
per,k_medoids,3840754868,800,4.11677e9,blended,2.6104082320202e7,1.0189658642262997e7,2.5548599299635e7
per,k_medoids,4064985653,800,4.11982e9,blended,2.6103763530223e7,1.0214685743677e7,2.5551101910379004e7
per,k_medoids,4280644831,800,4.12371e9,blended,2.6084045917647e7,1.0260220207422e7,2.554997833785e7
per,k_medoids,856316037,800,4.10636e9,blended,2.6056444110122e7,1.0136646870770998e7,2.553785132015e7
per,k_means,1005471400,100,3.85215e9,blended,2.5164650124447998e7,8.634804849106e6,2.5380476027124003e7
per,k_means,1262311769,100,3.85738e9,blended,2.5232346713403996e7,8.632340530164e6,2.5388897546514e7
per,k_means,1400059389,100,3.85218e9,blended,2.5155224337647e7,8.636897122907e6,2.5395078184625e7
per,k_means,1693313909,100,3.87396e9,blended,2.5314152605903e7,8.728729715361001e6,2.5351313995002e7
per,k_means,2483487299,100,3.85197e9,blended,2.5154715247302998e7,8.6334530632e6,2.5402204424324e7
per,k_means,2529186237,100,3.85275e9,blended,2.515363666297e7,8.635819683015e6,2.5419139232116003e7
per,k_means,2910484191,100,3.84352e9,blended,2.5131810193907e7,8.634047612887e6,2.5205721174621e7
per,k_means,2931455462,100,3.85176e9,blended,2.5154767449689e7,8.633747786684e6,2.5394899539146e7
per,k_means,3631457564,100,3.84961e9,blended,2.5153450353737e7,8.635028066837e6,2.5330863392325e7
per,k_means,472808301,100,3.85368e9,blended,2.5177254463298e7,8.63484520064e6,2.5396450856536e7
per,k_means,1516602964,20,1.83644e9,blended,1.3097191374525e7,2.49312593732e6,1.5280730243656e7
per,k_means,1886534858,20,1.83644e9,blended,1.3097191374525e7,2.49312593732e6,1.5280730243656e7
per,k_means,2317698438,20,1.83644e9,blended,1.3097191374525e7,2.49312593732e6,1.5280730243656e7
per,k_means,2466700586,20,1.83644e9,blended,1.3097191374525e7,2.49312593732e6,1.5280730243656e7
per,k_means,2692059346,20,1.83644e9,blended,1.3097191374525e7,2.49312593732e6,1.5280730243656e7
per,k_means,3032526906,20,1.83644e9,blended,1.3097191374525e7,2.49312593732e6,1.5280730243656e7
per,k_means,3214418042,20,1.83644e9,blended,1.3097191374525e7,2.49312593732e6,1.5280730243656e7
per,k_means,3217763985,20,1.83644e9,blended,1.3097191374525e7,2.49312593732e6,1.5280730243656e7
per,k_means,3272403283,20,1.83644e9,blended,1.3097191374525e7,2.49312593732e6,1.5280730243656e7
per,k_means,408956147,20,1.83644e9,blended,1.3097191374525e7,2.49312593732e6,1.5280730243656e7
per,k_means,1040218444,200,3.8875e9,blended,2.5448650548952997e7,8.734424985076e6,2.5422662865103e7
per,k_means,1498923158,200,3.99997e9,blended,2.6018880027069e7,9.339907630222e6,2.5302310873693e7
per,k_means,1571330722,200,3.93022e9,blended,2.6019526873289e7,8.660362393664e6,2.5638782073879e7
per,k_means,2110474755,200,3.93039e9,blended,2.6021850980438e7,8.751154176211e6,2.5321988471741002e7
per,k_means,2358156674,200,3.97347e9,blended,2.6026720393797e7,9.013805982118e6,2.5649910378872e7
per,k_means,2454944798,200,3.96196e9,blended,2.6018714253141e7,9.015183672752999e6,2.5327857701367002e7
per,k_means,3126457023,200,3.88055e9,blended,2.5506027076835e7,8.659652053406e6,2.5351721728440996e7
per,k_means,4093639103,200,3.9282e9,blended,2.5448763452168e7,9.013930200827999e6,2.5632980378837e7
per,k_means,4109171108,200,3.99938e9,blended,2.6019337396498e7,9.336276059612999e6,2.5296714170381e7
per,k_means,535977374,200,3.99532e9,blended,2.6019006092007e7,9.211617176797e6,2.5613901623288002e7
per,k_means,2427280835,400,4.02966e9,blended,2.6019579510527e7,9.498925845238e6,2.5610760320524003e7
per,k_means,2619392602,400,4.01407e9,blended,2.6019794158977e7,9.367200473542e6,2.5615442736105002e7
per,k_means,2782517393,400,4.01118e9,blended,2.601976898214e7,9.347726386852e6,2.5599393136697e7
per,k_means,312313452,400,4.08139e9,blended,2.6018963223794e7,9.931200477179e6,2.5611345373088002e7
per,k_means,31988942,400,4.03149e9,blended,2.6019197810699e7,9.514647904323999e6,2.5610153857424002e7
per,k_means,3299859308,400,4.02872e9,blended,2.601876972172e7,9.501020346559e6,2.5577986221884e7
per,k_means,3416848122,400,4.07874e9,blended,2.601912433511e7,9.913101137507e6,2.5596977134846002e7
per,k_means,4200777459,400,4.08017e9,blended,2.6019135183417e7,9.923889350529999e6,2.5600861728374e7
per,k_means,562750908,400,4.02893e9,blended,2.6018560086238e7,9.506992566323e6,2.5563544407712e7
per,k_means,938822533,400,4.07163e9,blended,2.6019701364039e7,9.842994097883e6,2.5632998621044002e7
per,k_means,123456789,50,3.79711e9,blended,2.5060300636615e7,8.632336783994e6,2.4021224600042e7
per,k_means,1286268702,50,3.67482e9,blended,2.5082468951565e7,7.6326901254630005e6,2.3895779331076004e7
per,k_means,1308502331,50,3.63651e9,blended,2.5079413777588e7,7.508304558503e6,2.3220653204794e7
per,k_means,1573928461,50,3.80891e9,blended,2.5131061197882e7,8.632959219857e6,2.420326547669e7
per,k_means,1991051616,50,3.67289e9,blended,2.5081780463162996e7,7.6315771819090005e6,2.3845093948680997e7
per,k_means,2678701235,50,3.67656e9,blended,2.5081111954359997e7,7.633191918277e6,2.3947832376342e7
per,k_means,3861234567,50,3.67771e9,blended,2.5079844748905998e7,7.633890048872001e6,2.3981639775172003e7
per,k_means,477073181,50,3.79852e9,blended,2.5082199453262e7,8.63287485801e6,2.4011277557588e7
per,k_means,876543210,50,3.6656e9,blended,2.506005860054e7,7.632437769825e6,2.3678513644881e7
per,k_means,987654321,50,3.68784e9,blended,2.5079754903070997e7,7.633828752990001e6,2.4276942388632998e7
per,k_means,1090113321,800,4.08329e9,blended,2.6019211528266e7,9.963487143601e6,2.5553512007536e7
per,k_means,1155602729,800,4.0838e9,blended,2.6020835498636e7,9.960146085912e6,2.5576254438126e7
per,k_means,2122787014,800,4.08703e9,blended,2.60196217301e7,9.994113541493999e6,2.5554827729536e7
