rp,clustering,seed,num_periods,investment_cost,operational_cost,runtime,process_time,distance,data,loss_ct,loss,type,year
per,k_medoids,2483487299,100,4.03345e9,5.38339e9,29.3068794,27.327699300000003,SqEuclidean,blended,238,1.653627512592e6,insample,1994
per,k_medoids,2483487299,100,4.03345e9,4.47356e9,41.8811924,40.5301169,SqEuclidean,blended,152,723057.5881090001,insample,1998
per,k_medoids,2483487299,100,4.03345e9,4.42474e9,37.4946428,34.2834311,SqEuclidean,blended,169,682281.309314,insample,2004
per,k_medoids,2483487299,100,4.03345e9,4.5128e9,31.7399816,33.1249778,SqEuclidean,blended,145,783384.3490070001,insample,2008
per,k_medoids,2483487299,100,4.03345e9,4.73409e9,33.2677761,32.5087413,SqEuclidean,blended,223,1.020178436921e6,insample,2011
per,k_medoids,2483487299,100,4.03345e9,4.18516e9,32.3127283,30.030192099999997,SqEuclidean,blended,112,406291.08372200007,insample,2012
per,k_medoids,2483487299,100,4.03345e9,4.54725e9,33.404136,30.1271774,SqEuclidean,blended,147,795448.3681569999,insample,2016
per,k_medoids,2529186237,100,4.08485e9,4.99437e11,26.5877233,66.6507622,SqEuclidean,blended,3599,3.9220305851211995e7,initial,initial
per,k_medoids,2529186237,100,4.08485e9,5.19261e9,32.3521677,33.138115899999995,SqEuclidean,blended,400,1.458206132511e6,insample,1982
per,k_medoids,2529186237,100,4.08485e9,5.68244e9,33.3671152,30.4693519,SqEuclidean,blended,294,1.900182809656e6,insample,1986
per,k_medoids,2529186237,100,4.08485e9,4.15417e9,43.2674174,45.6474079,SqEuclidean,blended,176,462727.074807,insample,1990
per,k_medoids,2529186237,100,4.08485e9,5.45367e9,28.7684326,29.4507175,SqEuclidean,blended,292,1.7247124588050002e6,insample,1994
per,k_medoids,2529186237,100,4.08485e9,4.54886e9,40.3381156,42.0465233,SqEuclidean,blended,200,799460.7208230002,insample,1998
per,k_medoids,2529186237,100,4.08485e9,4.52257e9,35.2361014,35.735457600000004,SqEuclidean,blended,236,781314.8575950001,insample,2004
per,k_medoids,2529186237,100,4.08485e9,4.56296e9,31.422559,31.0997552,SqEuclidean,blended,184,834160.7140560001,insample,2008
per,k_medoids,2529186237,100,4.08485e9,4.80904e9,34.6967238,39.6497153,SqEuclidean,blended,279,1.0961646686839997e6,insample,2011
per,k_medoids,2529186237,100,4.08485e9,4.25615e9,31.9909622,32.8614332,SqEuclidean,blended,157,478385.98463,insample,2012
per,k_medoids,2529186237,100,4.08485e9,4.61459e9,33.1677926,32.1439928,SqEuclidean,blended,184,863847.090961,insample,2016
per,k_medoids,2910484191,100,4.0045e9,4.56806e11,25.4779221,67.3169328,SqEuclidean,blended,3579,3.9247636904255e7,initial,initial
per,k_medoids,2910484191,100,4.0045e9,5.1639e9,32.3539353,30.3848922,SqEuclidean,blended,369,1.4281928028380005e6,insample,1982
per,k_medoids,2910484191,100,4.0045e9,5.67169e9,32.339918,30.331135,SqEuclidean,blended,275,1.888019994671e6,insample,1986
per,k_medoids,2910484191,100,4.0045e9,4.13782e9,45.0100018,46.8728501,SqEuclidean,blended,165,445260.956557,insample,1990
per,k_medoids,2910484191,100,4.0045e9,5.42283e9,28.7274365,27.7657363,SqEuclidean,blended,276,1.6927955894350002e6,insample,1994
per,k_medoids,2910484191,100,4.0045e9,4.52649e9,38.9718623,44.1532169,SqEuclidean,blended,187,775839.417784,insample,1998
per,k_medoids,2910484191,100,4.0045e9,4.5069e9,35.5168873,31.8357678,SqEuclidean,blended,213,764417.714056,insample,2004
per,k_medoids,2910484191,100,4.0045e9,4.5464e9,31.8973966,30.399888,SqEuclidean,blended,174,816678.2307740002,insample,2008
per,k_medoids,2910484191,100,4.0045e9,4.79431e9,33.613675,32.0418263,SqEuclidean,blended,258,1.080299359041e6,insample,2011
per,k_medoids,2910484191,100,4.0045e9,4.23696e9,32.0961238,30.182163699999997,SqEuclidean,blended,141,457963.989577,insample,2012
per,k_medoids,2910484191,100,4.0045e9,4.59042e9,32.9072289,32.732699600000004,SqEuclidean,blended,174,838429.313636,insample,2016
per,k_medoids,2931455462,100,4.11855e9,4.83363e11,27.7945832,67.7368459,SqEuclidean,blended,3603,3.9246232259397e7,initial,initial
per,k_medoids,2931455462,100,4.11855e9,5.09937e9,32.9639187,30.6654505,SqEuclidean,blended,376,1.3644410126510002e6,insample,1982
per,k_medoids,2931455462,100,4.11855e9,5.64239e9,32.5967017,31.7014413,SqEuclidean,blended,283,1.859643884393e6,insample,1986
per,k_medoids,2931455462,100,4.11855e9,4.11967e9,43.6580477,45.836161,SqEuclidean,blended,169,427593.3252,insample,1990
per,k_medoids,2931455462,100,4.11855e9,5.34499e9,29.2331327,27.6935081,SqEuclidean,blended,254,1.615565020436e6,insample,1994
per,k_medoids,2931455462,100,4.11855e9,4.41737e9,40.5164109,38.4378762,SqEuclidean,blended,177,666961.2474439999,insample,1998
per,k_medoids,2931455462,100,4.11855e9,4.40185e9,35.9310321,31.8598502,SqEuclidean,blended,191,660094.9143549999,insample,2004
per,k_medoids,2931455462,100,4.11855e9,4.44936e9,31.7036931,33.4088701,SqEuclidean,blended,165,719905.8350280001,insample,2008
per,k_medoids,2931455462,100,4.11855e9,4.70601e9,32.4000227,35.763802,SqEuclidean,blended,243,992594.636793,insample,2011
